FIPS,Percent_change_fast_food_restaurants_2011_2016,FIPS,Percent_change_convenience_stores_2011_2016,FIPS,Metro_nonmetro_counties_2010,FIPS,Persistent_poverty_counties_2010,FIPS,Population_loss_counties_2010,FIPS,Recreation_fitness_facilities_2011,FIPS,Grocery_stores_2011,FIPS,Low_access_to_stores_2010,FIPS,SNAP_benefits_per_capita_2012,FIPS,WIC_redemptions_per_capita_2011
4019,6.28638956,4019,-9.8201217,4019,1,4019,0,4019,0.0,4019,0.102299511,4019,0.116479641,4019,232208.17523966,4019,22.297067642211914,4019,13.469428062438965
4021,-11.566263353,4021,2.194924168,4021,1,4021,0,4021,0.0,4021,0.0237953,4021,0.081961579,4021,65190.1704178104,4021,18.91806983947754,4021,14.99526596069336
4023,-11.420820091,4023,3.34237656,4023,0,4023,0,4023,0.0,4023,0.0210018,4023,0.147012496,4023,13052.3095659545,4023,31.54339027404785,4023,33.946311950683594
4025,-1.767885615,4025,-8.272985328,4025,1,4025,0,4025,0.0,4025,0.099581284,4025,0.15174291,4025,70247.5271505248,4025,18.157474517822266,4025,10.673295974731445
4027,18.121535023,4027,3.292424566,4027,1,4027,0,4027,0.0,4027,0.0394904,4027,0.162897804,4027,43752.5563334238,4027,25.128026962280273,4027,27.87405014038086
5001,-41.730373319,5001,35.464431259,5001,0,5001,0,5001,1.0,5001,0.052997,5001,0.158990938,5001,4197.60439951545,5001,24.845703125,5001,29.631908416748047
5003,-0.876000098,5003,-25.987413406,5003,0,5003,0,5003,1.0,5003,0.0,5003,0.322982513,5003,4341.55433025648,5003,27.28335952758789,5003,26.89312171936035
5005,7.405768497,5005,-26.92628067,5005,0,5005,0,5005,0.0,5005,0.096756247,5005,0.169323432,5005,4979.82384015742,5005,17.15316390991211,5005,16.475013732910156
5007,-1.921369544,5007,-10.44307877,5007,1,5007,0,5007,0.0,5007,0.109252842,5007,0.117993069,5007,43591.3757372605,5007,10.935066223144531,5007,16.74740219116211
5009,-0.344169288,5009,10.145918155,5009,0,5009,0,5009,0.0,5009,0.0269811,5009,0.134905431,5009,11074.8039454851,5009,19.92423439025879,5009,22.98123550415039
5011,73.437167927,5011,-13.281416037,5011,0,5011,1,5011,0.0,5011,0.087527352,5011,0.262582057,5011,1254.62884753651,5011,29.442668914794922,5011,
5013,1.569159241,5013,52.353738861,5013,0,5013,0,5013,1.0,5013,0.0,5013,0.381460996,5013,3507.67005915603,5013,16.56245994567871,5013,
