FIPS,State,County,Predicted_change_obese
21033,Kentucky,Caldwell,3.2481194350474323
21035,Kentucky,Calloway,2.1866030772426175
21037,Kentucky,Campbell,1.9303041711234596
21039,Kentucky,Carlisle,3.184187735176959
21041,Kentucky,Carroll,3.3834335546703995
21043,Kentucky,Carter,1.7355008613132137
21045,Kentucky,Casey,-0.24434790581271315
21047,Kentucky,Christian,2.4879598395542923
21049,Kentucky,Clark,3.6307296884863303
21051,Kentucky,Clay,4.698204347597617
21053,Kentucky,Clinton,3.288584139255768
21055,Kentucky,Crittenden,3.68822592405289
21057,Kentucky,Cumberland,2.3155803303952176
21059,Kentucky,Daviess,2.0825842314944105
21061,Kentucky,Edmonson,2.0081980219060895
21063,Kentucky,Elliott,4.105801630685519
21065,Kentucky,Estill,4.308983973198069
21067,Kentucky,Fayette,-0.6184876668075199
21069,Kentucky,Fleming,1.7681724473042697
21071,Kentucky,Floyd,2.366955308658616
21073,Kentucky,Franklin,1.0070711926686962
21075,Kentucky,Fulton,3.4315019784522702
21077,Kentucky,Gallatin,1.6502449998328856
21079,Kentucky,Garrard,3.5964481309354213
21081,Kentucky,Grant,0.870057646416293
21083,Kentucky,Graves,2.432490599010708
21085,Kentucky,Grayson,4.8319267143330205
21087,Kentucky,Green,3.9587688797729648
21089,Kentucky,Greenup,2.599500615533521
21091,Kentucky,Hancock,2.326945006019337
21093,Kentucky,Hardin,0.13033817013638826
21095,Kentucky,Harlan,6.271515268804075
21097,Kentucky,Harrison,1.835156912465889
21099,Kentucky,Hart,1.5890720193432957
21101,Kentucky,Henderson,0.7001428281294728
21103,Kentucky,Henry,0.13800808688267807
21105,Kentucky,Hickman,2.2366250409098747
21107,Kentucky,Hopkins,1.545921296464166
21109,Kentucky,Jackson,3.3888621603434856
21111,Kentucky,Jefferson,-0.3162901033755575
21113,Kentucky,Jessamine,2.637003829408594
21115,Kentucky,Johnson,1.4558606094694153
21117,Kentucky,Kenton,2.4025015808517503
21119,Kentucky,Knott,5.247069596379291
21121,Kentucky,Knox,3.5274719703610855
21123,Kentucky,Larue,1.0219120940983895
21125,Kentucky,Laurel,0.26836456870394304
21127,Kentucky,Lawrence,2.8760020398372252
21129,Kentucky,Lee,4.152826353702512
21131,Kentucky,Leslie,4.969302517781916
21133,Kentucky,Letcher,2.3398893609832894
21135,Kentucky,Lewis,2.907092806306423
21137,Kentucky,Lincoln,-0.4824871198836238
21139,Kentucky,Livingston,3.0707481453654792
21141,Kentucky,Logan,2.7301549822106677
21143,Kentucky,Lyon,0.30836727039599765
21145,Kentucky,McCracken,1.8176932955200629
21147,Kentucky,McCreary,4.089364892933425
21149,Kentucky,McLean,1.8337704709658844
21151,Kentucky,Madison,1.7389117694638174
